benchmark,machine,throughput_mibs,timestamp,commit
wikipedia/word break + word_like,aws-c7a.4xlarge,311.67,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7a.4xlarge,366.25,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,240.97,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7a.4xlarge,190.10,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7a.4xlarge,163.82,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7a.4xlarge,75.739,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7a.4xlarge,72.393,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,aws-c7i.4xlarge,250.74,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break + word_like,aws-c7i.4xlarge,246.71,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7i.4xlarge,317.47,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,203.31,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7i.4xlarge,166.13,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7i.4xlarge,141.35,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7i.4xlarge,68.756,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7i.4xlarge,66.237,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,aws-c7g.4xlarge,267.44,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break + word_like,aws-c7g.4xlarge,253.63,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7g.4xlarge,277.62,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,187.05,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7g.4xlarge,152.21,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7g.4xlarge,136.85,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7g.4xlarge,59.132,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7g.4xlarge,58.147,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,c4d-standard-16-lssd,338.61,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break + word_like,c4d-standard-16-lssd,337.89,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,c4d-standard-16-lssd,397.68,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),c4d-standard-16-lssd,280.11,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,c4d-standard-16-lssd,225.62,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,c4d-standard-16-lssd,187.25,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,c4d-standard-16-lssd,96.059,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,c4d-standard-16-lssd,92.004,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,c4a-standard-16-lssd,359.24,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break + word_like,c4a-standard-16-lssd,330.62,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,c4a-standard-16-lssd,324.53,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),c4a-standard-16-lssd,235.67,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,c4a-standard-16-lssd,193.03,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,c4a-standard-16-lssd,172.73,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,c4a-standard-16-lssd,81.587,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,c4a-standard-16-lssd,81.150,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,c4-standard-16-lssd,306.37,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break + word_like,c4-standard-16-lssd,301.34,2026-06-08T00:00:00Z,58b13dc
wikipedia/sentence break,c4-standard-16-lssd,384.06,2026-06-08T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),c4-standard-16-lssd,249.99,2026-06-08T00:00:00Z,58b13dc
analysis/+ lowercase,c4-standard-16-lssd,205.84,2026-06-08T00:00:00Z,58b13dc
analysis/+ stopwords,c4-standard-16-lssd,171.01,2026-06-08T00:00:00Z,58b13dc
analysis/+ stemming,c4-standard-16-lssd,85.150,2026-06-08T00:00:00Z,58b13dc
analysis/full pipeline,c4-standard-16-lssd,82.496,2026-06-08T00:00:00Z,58b13dc
wikipedia/word break,aws-c7a.4xlarge,308.25,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break + word_like,aws-c7a.4xlarge,312.61,2026-06-09T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7a.4xlarge,368.12,2026-06-09T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,239.56,2026-06-09T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7a.4xlarge,191.21,2026-06-09T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7a.4xlarge,163.90,2026-06-09T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7a.4xlarge,76.066,2026-06-09T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7a.4xlarge,73.823,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break,aws-c7i.4xlarge,230.55,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break + word_like,aws-c7i.4xlarge,227.59,2026-06-09T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7i.4xlarge,291.44,2026-06-09T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,187.25,2026-06-09T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7i.4xlarge,152.69,2026-06-09T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7i.4xlarge,129.79,2026-06-09T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7i.4xlarge,64.149,2026-06-09T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7i.4xlarge,61.542,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break,aws-c7g.4xlarge,267.95,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break + word_like,aws-c7g.4xlarge,254.17,2026-06-09T00:00:00Z,58b13dc
wikipedia/sentence break,aws-c7g.4xlarge,277.46,2026-06-09T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,186.59,2026-06-09T00:00:00Z,58b13dc
analysis/+ lowercase,aws-c7g.4xlarge,152.39,2026-06-09T00:00:00Z,58b13dc
analysis/+ stopwords,aws-c7g.4xlarge,136.99,2026-06-09T00:00:00Z,58b13dc
analysis/+ stemming,aws-c7g.4xlarge,58.974,2026-06-09T00:00:00Z,58b13dc
analysis/full pipeline,aws-c7g.4xlarge,58.038,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break,c4a-standard-16-lssd,359.02,2026-06-09T00:00:00Z,58b13dc
wikipedia/word break + word_like,c4a-standard-16-lssd,330.62,2026-06-09T00:00:00Z,58b13dc
wikipedia/sentence break,c4a-standard-16-lssd,325.90,2026-06-09T00:00:00Z,58b13dc
analysis/tokenize only (case sensitive),c4a-standard-16-lssd,235.42,2026-06-09T00:00:00Z,58b13dc
analysis/+ lowercase,c4a-standard-16-lssd,192.96,2026-06-09T00:00:00Z,58b13dc
